"Date","Price","Open","High","Low","Change %"
"May 29, 2016","67.000","67.040","67.519","67.000","-0.05"
"May 22, 2016","67.031","67.430","67.780","66.875","-0.56"
"May 15, 2016","67.408","66.925","67.610","66.675","0.83"
"May 08, 2016","66.855","66.601","66.925","66.395","0.38"
"May 01, 2016","66.600","66.425","66.715","66.235","0.26"
"Apr 24, 2016","66.425","66.660","66.852","66.290","-0.35"
"Apr 17, 2016","66.660","66.660","66.731","66.095","0.00"
"Apr 10, 2016","66.660","66.555","66.690","66.271","0.16"
"Apr 03, 2016","66.551","66.310","66.826","66.024","0.28"
"Mar 27, 2016","66.365","66.790","66.912","66.130","-0.69"
"Mar 20, 2016","66.829","66.383","66.956","66.383","0.67"
"Mar 13, 2016","66.384","66.973","67.460","66.256","-0.80"
"Mar 06, 2016","66.921","66.989","67.515","66.895","-0.03"
"Feb 28, 2016","66.938","68.737","68.792","66.881","-2.62"
"Feb 21, 2016","68.737","68.690","68.909","68.384","0.28"
"Feb 14, 2016","68.545","68.119","68.690","68.010","0.63"
"Feb 07, 2016","68.118","67.880","68.496","67.780","0.45"
"Jan 31, 2016","67.810","67.878","68.265","67.495","-0.10"
"Jan 24, 2016","67.878","67.579","68.265","67.493","0.49"
"Jan 17, 2016","67.549","67.791","68.180","67.500","-0.33"
"Jan 10, 2016","67.775","66.874","67.869","66.708","1.39"
"Jan 03, 2016","66.847","66.165","66.981","66.165","0.92"
"Dec 27, 2015","66.235","66.030","66.495","66.030","0.32"
"Dec 20, 2015","66.025","66.319","66.385","65.946","-0.35"
"Dec 13, 2015","66.255","67.100","67.180","66.228","-1.33"
"Dec 06, 2015","67.148","66.644","67.148","66.570","0.76"
"Nov 29, 2015","66.643","66.835","66.995","66.385","-0.39"
"Nov 22, 2015","66.907","66.095","66.910","66.057","1.29"
"Nov 15, 2015","66.058","66.079","66.325","65.853","-0.00"
"Nov 08, 2015","66.059","66.420","66.500","66.005","-0.12"
"Nov 01, 2015","66.140","65.413","66.140","65.330","1.10"
"Oct 25, 2015","65.423","64.964","65.470","64.788","0.82"
"Oct 18, 2015","64.892","64.703","65.230","64.681","0.29"
"Oct 11, 2015","64.703","64.779","65.192","64.639","-0.12"
"Oct 04, 2015","64.780","65.155","65.440","64.689","-0.89"
"Sep 27, 2015","65.364","66.160","66.441","65.358","-1.22"
"Sep 20, 2015","66.170","65.869","66.380","65.560","0.46"
"Sep 13, 2015","65.868","66.242","66.520","65.670","-0.56"
"Sep 06, 2015","66.241","66.726","66.913","66.238","-0.67"
"Aug 30, 2015","66.685","66.150","66.785","66.040","0.81"
"Aug 23, 2015","66.150","66.390","66.910","65.865","0.18"
"Aug 16, 2015","66.034","65.097","66.045","65.061","1.39"
